op_index,op,class,decisive_note
130,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
131,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
132,floor,missing,no H13 encoder for 'floor': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
133,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
134,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
135,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
136,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
137,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
138,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
139,floor,missing,no H13 encoder for 'floor': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
140,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
141,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
142,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
143,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
144,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
145,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
146,floor,missing,no H13 encoder for 'floor': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
147,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
148,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
149,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
150,cast,missing,no H13 encoder for 'cast': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
151,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
152,less,missing,no H13 encoder for 'less': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
153,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
154,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
155,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
156,tile,missing,no H13 encoder for 'tile': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
157,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
158,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
159,logical_and,missing,no H13 encoder for 'logical_and': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
160,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
161,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
162,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
163,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
164,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
165,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
166,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
167,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
168,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
169,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
170,silu,missing-envelope,"no Silu surface for (1, 375, 4096): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
171,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
172,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
173,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
174,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
175,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
176,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
177,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
178,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
179,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
180,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
181,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
182,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
183,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
184,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
185,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
186,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
187,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
188,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
189,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
190,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
191,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
192,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
193,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
194,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
195,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
196,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
197,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
198,add,direct,whole-tensor constant fold (add/mul/max/min; sub folds as sign-flipped add; real_div folds only for powers of two)
199,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
200,add,direct,whole-tensor constant fold (add/mul/max/min; sub folds as sign-flipped add; real_div folds only for powers of two)
201,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
202,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
203,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
204,matmul,normalization-needed,"const-weight matmul 3000x128x749 tx=False ty=False outside parity envelope; falls to the source-qualified chunked matvec path (per-row/512-column slices, physical reduction 256/512, weight must be a const with BLOBFILE payload — this proto stores it inline, so the handoff must re-emit weight.bin ..."
205,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
206,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
207,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
208,pad,missing,no H13 encoder for 'pad': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
209,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
210,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
211,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
212,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
213,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
214,slice_by_index,missing,no H13 encoder for 'slice_by_index': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
215,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
216,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
217,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
218,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
219,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
220,slice_by_index,missing,no H13 encoder for 'slice_by_index': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
221,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
222,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
223,logical_not,missing,no H13 encoder for 'logical_not': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
224,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
225,select,missing,no H13 encoder for 'select': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
226,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
227,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
228,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
229,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
230,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
231,matmul,missing-envelope,"runtime-operand matmul rows=3000 red=128 cols=375 tx=False ty=True y=(1, 8, 375, 128): outside kMatmulEnvelopeTasks (rows decoded only for 1 and 16); runtime-weight matmul is parity-path-only — reject h13.matmul-outside-envelope; no chunked fallback exists for runtime operands"
232,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
233,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
234,softmax,missing-envelope,"softmax template lookup in=(8, 375, 375) out=(8, 375, 375) axis-mask=0x08: absent from kNormTasks (44 decoded softmax programs; largest spatial 256x256); normParityPlan is softmax's only path (no generic fallback)"
235,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
236,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
237,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
238,matmul,missing-envelope,"runtime-operand matmul rows=3000 red=375 cols=128 tx=False ty=False y=(1, 8, 375, 128): outside kMatmulEnvelopeTasks (rows decoded only for 1 and 16); runtime-weight matmul is parity-path-only — reject h13.matmul-outside-envelope; no chunked fallback exists for runtime operands"
239,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
